t_s,armed,yaw_rate_dps,target_dps,servo4_pwm,vbat_v,current_a,power_w,kp,ki,kd,imax,h_yaw_trim
14.0158,1,7.6452,0.0,850,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.0160,1,-3.7178,0.0,849,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.0161,1,-9.7857,0.0,850,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.0164,1,-15.5279,0.0,855,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.0165,1,-20.8995,0.0,857,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.1221,1,-35.3613,0.0,861,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.1229,1,-46.2788,0.0,863,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.1238,1,-50.6980,0.0,871,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.2365,1,-53.6272,0.0,881,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.4299,1,-50.7231,0.0,888,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.4305,1,-45.2041,0.0,888,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.4313,1,-41.5492,0.0,886,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.6768,1,-29.2156,0.0,888,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.6781,1,-2.2177,0.0,884,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.6795,1,8.6587,0.0,877,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.8036,1,25.8206,0.0,865,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.8753,1,30.2428,0.0,859,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
15.0517,1,31.4004,0.0,854,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
15.1094,1,18.7870,0.0,845,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
15.2626,1,20.0369,0.0,853,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
15.3486,1,28.2813,0.0,849,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
15.5902,1,18.8162,0.0,848,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
15.5907,1,17.2846,0.0,846,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
15.6561,1,-0.0284,0.0,850,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
15.8100,1,-2.3057,0.0,856,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
16.0878,1,-8.1360,0.0,860,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
16.0887,1,-19.2015,0.0,862,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
16.3527,1,-28.5245,0.0,867,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
16.3542,1,-24.7483,0.0,875,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
16.3547,1,-16.2487,0.0,875,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
16.3554,1,-18.2487,0.0,874,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
16.6465,1,-16.4253,0.0,874,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
16.6475,1,-1.6295,0.0,874,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
16.6480,1,7.7911,0.0,871,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
16.6487,1,15.4571,0.0,863,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
16.7517,1,-3.1752,0.0,858,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
16.8405,1,-7.3612,0.0,863,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
17.1079,1,-10.5976,0.0,868,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
